:nemesis	:info	:start-partition	:minority-third
1	:invoke	:generate	nil
2	:invoke	:generate	nil
:nemesis	:info	:start-partition	[:isolated {"n2" #{}, "n1" #{}, "n0" #{}}]
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	2
0	:ok	:generate	3
1	:invoke	:generate	nil
0	:invoke	:generate	nil
0	:ok	:generate	4
0	:invoke	:generate	nil
0	:ok	:generate	5
0	:invoke	:generate	nil
0	:ok	:generate	6
0	:invoke	:generate	nil
0	:ok	:generate	7
0	:invoke	:generate	nil
0	:ok	:generate	8
0	:invoke	:generate	nil
0	:ok	:generate	9
0	:invoke	:generate	nil
0	:ok	:generate	10
0	:invoke	:generate	nil
0	:ok	:generate	11
0	:invoke	:generate	nil
0	:ok	:generate	12
0	:invoke	:generate	nil
0	:ok	:generate	13
0	:invoke	:generate	nil
0	:ok	:generate	14
0	:invoke	:generate	nil
0	:ok	:generate	16
2	:ok	:generate	15
2	:invoke	:generate	nil
0	:invoke	:generate	nil
0	:ok	:generate	17
0	:invoke	:generate	nil
2	:ok	:generate	18
2	:invoke	:generate	nil
0	:ok	:generate	19
0	:invoke	:generate	nil
1	:ok	:generate	20
1	:invoke	:generate	nil
0	:ok	:generate	21
0	:invoke	:generate	nil
0	:ok	:generate	22
0	:invoke	:generate	nil
0	:ok	:generate	23
0	:invoke	:generate	nil
0	:ok	:generate	25
0	:invoke	:generate	nil
1	:ok	:generate	24
1	:invoke	:generate	nil
0	:ok	:generate	26
0	:invoke	:generate	nil
0	:ok	:generate	28
0	:invoke	:generate	nil
2	:ok	:generate	27
2	:invoke	:generate	nil
0	:ok	:generate	29
0	:invoke	:generate	nil
0	:ok	:generate	30
0	:invoke	:generate	nil
0	:ok	:generate	31
0	:invoke	:generate	nil
0	:ok	:generate	32
0	:invoke	:generate	nil
0	:ok	:generate	33
0	:invoke	:generate	nil
0	:ok	:generate	34
0	:invoke	:generate	nil
0	:ok	:generate	35
0	:invoke	:generate	nil
1	:ok	:generate	36
1	:invoke	:generate	nil
0	:ok	:generate	37
0	:invoke	:generate	nil
0	:ok	:generate	39
2	:ok	:generate	38
2	:invoke	:generate	nil
0	:invoke	:generate	nil
0	:ok	:generate	40
0	:invoke	:generate	nil
0	:ok	:generate	41
0	:invoke	:generate	nil
0	:ok	:generate	42
0	:invoke	:generate	nil
2	:ok	:generate	43
2	:invoke	:generate	nil
0	:ok	:generate	44
0	:invoke	:generate	nil
0	:ok	:generate	46
1	:ok	:generate	45
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	47
0	:invoke	:generate	nil
0	:ok	:generate	49
0	:invoke	:generate	nil
1	:ok	:generate	48
1	:invoke	:generate	nil
0	:ok	:generate	50
0	:invoke	:generate	nil
0	:ok	:generate	51
0	:invoke	:generate	nil
0	:ok	:generate	53
0	:invoke	:generate	nil
2	:ok	:generate	52
2	:invoke	:generate	nil
0	:ok	:generate	54
0	:invoke	:generate	nil
0	:ok	:generate	56
0	:invoke	:generate	nil
1	:ok	:generate	55
1	:invoke	:generate	nil
0	:ok	:generate	58
0	:invoke	:generate	nil
2	:ok	:generate	57
2	:invoke	:generate	nil
0	:ok	:generate	59
0	:invoke	:generate	nil
0	:ok	:generate	60
0	:invoke	:generate	nil
0	:ok	:generate	61
0	:invoke	:generate	nil
0	:ok	:generate	62
0	:invoke	:generate	nil
0	:ok	:generate	63
0	:invoke	:generate	nil
0	:ok	:generate	64
0	:invoke	:generate	nil
0	:ok	:generate	65
0	:invoke	:generate	nil
0	:ok	:generate	66
0	:invoke	:generate	nil
0	:ok	:generate	68
0	:invoke	:generate	nil
1	:ok	:generate	67
1	:invoke	:generate	nil
0	:ok	:generate	70
0	:invoke	:generate	nil
2	:ok	:generate	69
2	:invoke	:generate	nil
0	:ok	:generate	71
0	:invoke	:generate	nil
0	:ok	:generate	72
0	:invoke	:generate	nil
0	:ok	:generate	74
0	:invoke	:generate	nil
2	:ok	:generate	73
2	:invoke	:generate	nil
0	:ok	:generate	75
0	:invoke	:generate	nil
0	:ok	:generate	77
0	:invoke	:generate	nil
1	:ok	:generate	76
1	:invoke	:generate	nil
0	:ok	:generate	78
0	:invoke	:generate	nil
0	:ok	:generate	80
0	:invoke	:generate	nil
2	:ok	:generate	79
2	:invoke	:generate	nil
0	:ok	:generate	81
0	:invoke	:generate	nil
1	:ok	:generate	82
0	:ok	:generate	83
1	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	84
2	:invoke	:generate	nil
0	:ok	:generate	85
0	:invoke	:generate	nil
0	:ok	:generate	87
1	:ok	:generate	86
1	:invoke	:generate	nil
0	:invoke	:generate	nil
0	:ok	:generate	88
0	:invoke	:generate	nil
0	:ok	:generate	89
0	:invoke	:generate	nil
0	:ok	:generate	90
0	:invoke	:generate	nil
2	:ok	:generate	91
2	:invoke	:generate	nil
0	:ok	:generate	92
0	:invoke	:generate	nil
0	:ok	:generate	93
0	:invoke	:generate	nil
0	:ok	:generate	95
0	:invoke	:generate	nil
2	:ok	:generate	94
2	:invoke	:generate	nil
0	:ok	:generate	96
0	:invoke	:generate	nil
0	:ok	:generate	97
0	:invoke	:generate	nil
0	:ok	:generate	98
0	:invoke	:generate	nil
0	:ok	:generate	99
0	:invoke	:generate	nil
0	:ok	:generate	101
0	:invoke	:generate	nil
1	:ok	:generate	100
1	:invoke	:generate	nil
0	:ok	:generate	102
0	:invoke	:generate	nil
0	:ok	:generate	103
0	:invoke	:generate	nil
0	:ok	:generate	104
0	:invoke	:generate	nil
0	:ok	:generate	105
0	:invoke	:generate	nil
0	:ok	:generate	106
0	:invoke	:generate	nil
0	:ok	:generate	107
0	:invoke	:generate	nil
0	:ok	:generate	108
0	:invoke	:generate	nil
0	:ok	:generate	109
0	:invoke	:generate	nil
0	:ok	:generate	110
